"Absolute Path","Relative Path","Label"
"D:/PPLabs/lab3/Rnd\2971.text","lab3\Rnd\2971.text","1"
"D:/PPLabs/lab3/Rnd\6997.text","lab3\Rnd\6997.text","1"
"D:/PPLabs/lab3/Rnd\4084.text","lab3\Rnd\4084.text","1"
"D:/PPLabs/lab3/Rnd\6950.text","lab3\Rnd\6950.text","1"
"D:/PPLabs/lab3/Rnd\2844.text","lab3\Rnd\2844.text","1"
"D:/PPLabs/lab3/Rnd\9698.text","lab3\Rnd\9698.text","1"
"D:/PPLabs/lab3/Rnd\9141.text","lab3\Rnd\9141.text","1"
"D:/PPLabs/lab3/Rnd\5602.text","lab3\Rnd\5602.text","1"
"D:/PPLabs/lab3/Rnd\4438.text","lab3\Rnd\4438.text","1"
"D:/PPLabs/lab3/Rnd\7295.text","lab3\Rnd\7295.text","1"
"D:/PPLabs/lab3/Rnd\1020.text","lab3\Rnd\1020.text","1"
"D:/PPLabs/lab3/Rnd\5211.text","lab3\Rnd\5211.text","1"
"D:/PPLabs/lab3/Rnd\7584.text","lab3\Rnd\7584.text","1"
"D:/PPLabs/lab3/Rnd\1243.text","lab3\Rnd\1243.text","1"
"D:/PPLabs/lab3/Rnd\2704.text","lab3\Rnd\2704.text","1"
"D:/PPLabs/lab3/Rnd\899.text","lab3\Rnd\899.text","1"
"D:/PPLabs/lab3/Rnd\1500.text","lab3\Rnd\1500.text","1"
"D:/PPLabs/lab3/Rnd\2655.text","lab3\Rnd\2655.text","1"
"D:/PPLabs/lab3/Rnd\4024.text","lab3\Rnd\4024.text","1"
"D:/PPLabs/lab3/Rnd\4823.text","lab3\Rnd\4823.text","1"
"D:/PPLabs/lab3/Rnd\8629.text","lab3\Rnd\8629.text","1"
"D:/PPLabs/lab3/Rnd\9858.text","lab3\Rnd\9858.text","1"
"D:/PPLabs/lab3/Rnd\9489.text","lab3\Rnd\9489.text","1"
"D:/PPLabs/lab3/Rnd\6227.text","lab3\Rnd\6227.text","1"
"D:/PPLabs/lab3/Rnd\9026.text","lab3\Rnd\9026.text","1"
"D:/PPLabs/lab3/Rnd\7598.text","lab3\Rnd\7598.text","1"
"D:/PPLabs/lab3/Rnd\6102.text","lab3\Rnd\6102.text","1"
"D:/PPLabs/lab3/Rnd\3877.text","lab3\Rnd\3877.text","1"
"D:/PPLabs/lab3/Rnd\8533.text","lab3\Rnd\8533.text","1"
"D:/PPLabs/lab3/Rnd\5222.text","lab3\Rnd\5222.text","1"
"D:/PPLabs/lab3/Rnd\6709.text","lab3\Rnd\6709.text","1"
"D:/PPLabs/lab3/Rnd\744.text","lab3\Rnd\744.text","1"
"D:/PPLabs/lab3/Rnd\9299.text","lab3\Rnd\9299.text","1"
"D:/PPLabs/lab3/Rnd\309.text","lab3\Rnd\309.text","1"
"D:/PPLabs/lab3/Rnd\851.text","lab3\Rnd\851.text","1"
"D:/PPLabs/lab3/Rnd\8360.text","lab3\Rnd\8360.text","1"
"D:/PPLabs/lab3/Rnd\8754.text","lab3\Rnd\8754.text","1"
"D:/PPLabs/lab3/Rnd\9765.text","lab3\Rnd\9765.text","1"
"D:/PPLabs/lab3/Rnd\4832.text","lab3\Rnd\4832.text","1"
"D:/PPLabs/lab3/Rnd\8642.text","lab3\Rnd\8642.text","1"
"D:/PPLabs/lab3/Rnd\5878.text","lab3\Rnd\5878.text","1"
"D:/PPLabs/lab3/Rnd\6659.text","lab3\Rnd\6659.text","1"
"D:/PPLabs/lab3/Rnd\50.text","lab3\Rnd\50.text","1"
"D:/PPLabs/lab3/Rnd\4171.text","lab3\Rnd\4171.text","1"
"D:/PPLabs/lab3/Rnd\1710.text","lab3\Rnd\1710.text","1"
"D:/PPLabs/lab3/Rnd\8558.text","lab3\Rnd\8558.text","1"
"D:/PPLabs/lab3/Rnd\8587.text","lab3\Rnd\8587.text","1"
"D:/PPLabs/lab3/Rnd\5749.text","lab3\Rnd\5749.text","1"
"D:/PPLabs/lab3/Rnd\2200.text","lab3\Rnd\2200.text","1"
"D:/PPLabs/lab3/Rnd\6488.text","lab3\Rnd\6488.text","1"
"D:/PPLabs/lab3/Rnd\9807.text","lab3\Rnd\9807.text","1"
"D:/PPLabs/lab3/Rnd\9937.text","lab3\Rnd\9937.text","1"
"D:/PPLabs/lab3/Rnd\1801.text","lab3\Rnd\1801.text","1"
"D:/PPLabs/lab3/Rnd\7279.text","lab3\Rnd\7279.text","1"
"D:/PPLabs/lab3/Rnd\1753.text","lab3\Rnd\1753.text","1"
"D:/PPLabs/lab3/Rnd\2818.text","lab3\Rnd\2818.text","1"
"D:/PPLabs/lab3/Rnd\440.text","lab3\Rnd\440.text","1"
"D:/PPLabs/lab3/Rnd\68.text","lab3\Rnd\68.text","1"
"D:/PPLabs/lab3/Rnd\8016.text","lab3\Rnd\8016.text","1"
"D:/PPLabs/lab3/Rnd\4649.text","lab3\Rnd\4649.text","1"
"D:/PPLabs/lab3/Rnd\9079.text","lab3\Rnd\9079.text","1"
"D:/PPLabs/lab3/Rnd\7024.text","lab3\Rnd\7024.text","1"
"D:/PPLabs/lab3/Rnd\4012.text","lab3\Rnd\4012.text","1"
"D:/PPLabs/lab3/Rnd\3194.text","lab3\Rnd\3194.text","1"
"D:/PPLabs/lab3/Rnd\3363.text","lab3\Rnd\3363.text","1"
"D:/PPLabs/lab3/Rnd\306.text","lab3\Rnd\306.text","1"
"D:/PPLabs/lab3/Rnd\7463.text","lab3\Rnd\7463.text","1"
"D:/PPLabs/lab3/Rnd\1256.text","lab3\Rnd\1256.text","1"
"D:/PPLabs/lab3/Rnd\2698.text","lab3\Rnd\2698.text","1"
"D:/PPLabs/lab3/Rnd\9336.text","lab3\Rnd\9336.text","1"
"D:/PPLabs/lab3/Rnd\3331.text","lab3\Rnd\3331.text","1"
"D:/PPLabs/lab3/Rnd\8974.text","lab3\Rnd\8974.text","1"
"D:/PPLabs/lab3/Rnd\8408.text","lab3\Rnd\8408.text","1"
"D:/PPLabs/lab3/Rnd\5347.text","lab3\Rnd\5347.text","1"
"D:/PPLabs/lab3/Rnd\7316.text","lab3\Rnd\7316.text","1"
"D:/PPLabs/lab3/Rnd\3041.text","lab3\Rnd\3041.text","1"
"D:/PPLabs/lab3/Rnd\4693.text","lab3\Rnd\4693.text","1"
"D:/PPLabs/lab3/Rnd\8105.text","lab3\Rnd\8105.text","1"
"D:/PPLabs/lab3/Rnd\227.text","lab3\Rnd\227.text","1"
"D:/PPLabs/lab3/Rnd\3812.text","lab3\Rnd\3812.text","1"
"D:/PPLabs/lab3/Rnd\5615.text","lab3\Rnd\5615.text","1"
"D:/PPLabs/lab3/Rnd\2628.text","lab3\Rnd\2628.text","1"
"D:/PPLabs/lab3/Rnd\6616.text","lab3\Rnd\6616.text","1"
"D:/PPLabs/lab3/Rnd\5043.text","lab3\Rnd\5043.text","1"
"D:/PPLabs/lab3/Rnd\4803.text","lab3\Rnd\4803.text","1"
"D:/PPLabs/lab3/Rnd\9515.text","lab3\Rnd\9515.text","1"
"D:/PPLabs/lab3/Rnd\5549.text","lab3\Rnd\5549.text","1"
"D:/PPLabs/lab3/Rnd\8427.text","lab3\Rnd\8427.text","1"
"D:/PPLabs/lab3/Rnd\7288.text","lab3\Rnd\7288.text","1"
"D:/PPLabs/lab3/Rnd\8609.text","lab3\Rnd\8609.text","1"
"D:/PPLabs/lab3/Rnd\7916.text","lab3\Rnd\7916.text","1"
"D:/PPLabs/lab3/Rnd\8532.text","lab3\Rnd\8532.text","1"
"D:/PPLabs/lab3/Rnd\8632.text","lab3\Rnd\8632.text","1"
"D:/PPLabs/lab3/Rnd\9428.text","lab3\Rnd\9428.text","1"
"D:/PPLabs/lab3/Rnd\340.text","lab3\Rnd\340.text","1"
"D:/PPLabs/lab3/Rnd\5778.text","lab3\Rnd\5778.text","1"
"D:/PPLabs/lab3/Rnd\1679.text","lab3\Rnd\1679.text","1"
"D:/PPLabs/lab3/Rnd\2311.text","lab3\Rnd\2311.text","1"
"D:/PPLabs/lab3/Rnd\2914.text","lab3\Rnd\2914.text","1"
"D:/PPLabs/lab3/Rnd\1688.text","lab3\Rnd\1688.text","1"
"D:/PPLabs/lab3/Rnd\8947.text","lab3\Rnd\8947.text","1"
"D:/PPLabs/lab3/Rnd\1715.text","lab3\Rnd\1715.text","1"
"D:/PPLabs/lab3/Rnd\53.text","lab3\Rnd\53.text","1"
"D:/PPLabs/lab3/Rnd\5894.text","lab3\Rnd\5894.text","1"
"D:/PPLabs/lab3/Rnd\7921.text","lab3\Rnd\7921.text","1"
"D:/PPLabs/lab3/Rnd\9550.text","lab3\Rnd\9550.text","1"
"D:/PPLabs/lab3/Rnd\998.text","lab3\Rnd\998.text","1"
"D:/PPLabs/lab3/Rnd\2635.text","lab3\Rnd\2635.text","1"
"D:/PPLabs/lab3/Rnd\8223.text","lab3\Rnd\8223.text","1"
"D:/PPLabs/lab3/Rnd\4191.text","lab3\Rnd\4191.text","1"
"D:/PPLabs/lab3/Rnd\5031.text","lab3\Rnd\5031.text","1"
"D:/PPLabs/lab3/Rnd\4560.text","lab3\Rnd\4560.text","1"
"D:/PPLabs/lab3/Rnd\362.text","lab3\Rnd\362.text","1"
"D:/PPLabs/lab3/Rnd\7377.text","lab3\Rnd\7377.text","1"
"D:/PPLabs/lab3/Rnd\4108.text","lab3\Rnd\4108.text","1"
"D:/PPLabs/lab3/Rnd\525.text","lab3\Rnd\525.text","1"
"D:/PPLabs/lab3/Rnd\5261.text","lab3\Rnd\5261.text","1"
"D:/PPLabs/lab3/Rnd\3984.text","lab3\Rnd\3984.text","1"
"D:/PPLabs/lab3/Rnd\2173.text","lab3\Rnd\2173.text","1"
"D:/PPLabs/lab3/Rnd\3696.text","lab3\Rnd\3696.text","1"
"D:/PPLabs/lab3/Rnd\2540.text","lab3\Rnd\2540.text","1"
"D:/PPLabs/lab3/Rnd\6098.text","lab3\Rnd\6098.text","1"
"D:/PPLabs/lab3/Rnd\7876.text","lab3\Rnd\7876.text","1"
"D:/PPLabs/lab3/Rnd\4020.text","lab3\Rnd\4020.text","1"
"D:/PPLabs/lab3/Rnd\282.text","lab3\Rnd\282.text","1"
"D:/PPLabs/lab3/Rnd\2599.text","lab3\Rnd\2599.text","1"
"D:/PPLabs/lab3/Rnd\1007.text","lab3\Rnd\1007.text","1"
"D:/PPLabs/lab3/Rnd\3795.text","lab3\Rnd\3795.text","1"
"D:/PPLabs/lab3/Rnd\992.text","lab3\Rnd\992.text","1"
"D:/PPLabs/lab3/Rnd\5337.text","lab3\Rnd\5337.text","1"
"D:/PPLabs/lab3/Rnd\5041.text","lab3\Rnd\5041.text","1"
"D:/PPLabs/lab3/Rnd\616.text","lab3\Rnd\616.text","1"
"D:/PPLabs/lab3/Rnd\1219.text","lab3\Rnd\1219.text","1"
"D:/PPLabs/lab3/Rnd\8606.text","lab3\Rnd\8606.text","1"
"D:/PPLabs/lab3/Rnd\6933.text","lab3\Rnd\6933.text","1"
"D:/PPLabs/lab3/Rnd\2518.text","lab3\Rnd\2518.text","1"
"D:/PPLabs/lab3/Rnd\9713.text","lab3\Rnd\9713.text","1"
"D:/PPLabs/lab3/Rnd\6215.text","lab3\Rnd\6215.text","1"
"D:/PPLabs/lab3/Rnd\2195.text","lab3\Rnd\2195.text","1"
"D:/PPLabs/lab3/Rnd\1481.text","lab3\Rnd\1481.text","1"
"D:/PPLabs/lab3/Rnd\7549.text","lab3\Rnd\7549.text","1"
"D:/PPLabs/lab3/Rnd\1595.text","lab3\Rnd\1595.text","1"
"D:/PPLabs/lab3/Rnd\7793.text","lab3\Rnd\7793.text","1"
"D:/PPLabs/lab3/Rnd\4121.text","lab3\Rnd\4121.text","1"
"D:/PPLabs/lab3/Rnd\6796.text","lab3\Rnd\6796.text","1"
"D:/PPLabs/lab3/Rnd\1563.text","lab3\Rnd\1563.text","1"
"D:/PPLabs/lab3/Rnd\4320.text","lab3\Rnd\4320.text","1"
"D:/PPLabs/lab3/Rnd\1806.text","lab3\Rnd\1806.text","1"
"D:/PPLabs/lab3/Rnd\9928.text","lab3\Rnd\9928.text","1"
"D:/PPLabs/lab3/Rnd\8405.text","lab3\Rnd\8405.text","1"
"D:/PPLabs/lab3/Rnd\7069.text","lab3\Rnd\7069.text","1"
"D:/PPLabs/lab3/Rnd\1332.text","lab3\Rnd\1332.text","1"
"D:/PPLabs/lab3/Rnd\8701.text","lab3\Rnd\8701.text","1"
"D:/PPLabs/lab3/Rnd\2774.text","lab3\Rnd\2774.text","1"
"D:/PPLabs/lab3/Rnd\7816.text","lab3\Rnd\7816.text","1"
"D:/PPLabs/lab3/Rnd\5352.text","lab3\Rnd\5352.text","1"
"D:/PPLabs/lab3/Rnd\9766.text","lab3\Rnd\9766.text","1"
"D:/PPLabs/lab3/Rnd\2031.text","lab3\Rnd\2031.text","1"
"D:/PPLabs/lab3/Rnd\6091.text","lab3\Rnd\6091.text","1"
"D:/PPLabs/lab3/Rnd\9759.text","lab3\Rnd\9759.text","1"
"D:/PPLabs/lab3/Rnd\8084.text","lab3\Rnd\8084.text","1"
"D:/PPLabs/lab3/Rnd\9968.text","lab3\Rnd\9968.text","1"
"D:/PPLabs/lab3/Rnd\8480.text","lab3\Rnd\8480.text","1"
"D:/PPLabs/lab3/Rnd\8756.text","lab3\Rnd\8756.text","1"
"D:/PPLabs/lab3/Rnd\6906.text","lab3\Rnd\6906.text","1"
"D:/PPLabs/lab3/Rnd\5399.text","lab3\Rnd\5399.text","1"
"D:/PPLabs/lab3/Rnd\9938.text","lab3\Rnd\9938.text","1"
"D:/PPLabs/lab3/Rnd\4046.text","lab3\Rnd\4046.text","1"
"D:/PPLabs/lab3/Rnd\5355.text","lab3\Rnd\5355.text","1"
"D:/PPLabs/lab3/Rnd\2347.text","lab3\Rnd\2347.text","1"
"D:/PPLabs/lab3/Rnd\4260.text","lab3\Rnd\4260.text","1"
"D:/PPLabs/lab3/Rnd\7229.text","lab3\Rnd\7229.text","1"
"D:/PPLabs/lab3/Rnd\1368.text","lab3\Rnd\1368.text","1"
"D:/PPLabs/lab3/Rnd\8767.text","lab3\Rnd\8767.text","1"
"D:/PPLabs/lab3/Rnd\9201.text","lab3\Rnd\9201.text","1"
"D:/PPLabs/lab3/Rnd\6386.text","lab3\Rnd\6386.text","1"
"D:/PPLabs/lab3/Rnd\670.text","lab3\Rnd\670.text","1"
"D:/PPLabs/lab3/Rnd\6928.text","lab3\Rnd\6928.text","1"
"D:/PPLabs/lab3/Rnd\9203.text","lab3\Rnd\9203.text","1"
"D:/PPLabs/lab3/Rnd\782.text","lab3\Rnd\782.text","1"
"D:/PPLabs/lab3/Rnd\1588.text","lab3\Rnd\1588.text","1"
"D:/PPLabs/lab3/Rnd\5834.text","lab3\Rnd\5834.text","1"
"D:/PPLabs/lab3/Rnd\415.text","lab3\Rnd\415.text","1"
"D:/PPLabs/lab3/Rnd\3490.text","lab3\Rnd\3490.text","1"
"D:/PPLabs/lab3/Rnd\1048.text","lab3\Rnd\1048.text","1"
"D:/PPLabs/lab3/Rnd\3842.text","lab3\Rnd\3842.text","1"
"D:/PPLabs/lab3/Rnd\9116.text","lab3\Rnd\9116.text","1"
"D:/PPLabs/lab3/Rnd\403.text","lab3\Rnd\403.text","1"
"D:/PPLabs/lab3/Rnd\6293.text","lab3\Rnd\6293.text","1"
"D:/PPLabs/lab3/Rnd\4007.text","lab3\Rnd\4007.text","1"
"D:/PPLabs/lab3/Rnd\1714.text","lab3\Rnd\1714.text","1"
"D:/PPLabs/lab3/Rnd\1406.text","lab3\Rnd\1406.text","1"
"D:/PPLabs/lab3/Rnd\4545.text","lab3\Rnd\4545.text","1"
"D:/PPLabs/lab3/Rnd\7982.text","lab3\Rnd\7982.text","1"
"D:/PPLabs/lab3/Rnd\347.text","lab3\Rnd\347.text","1"
"D:/PPLabs/lab3/Rnd\6323.text","lab3\Rnd\6323.text","1"
"D:/PPLabs/lab3/Rnd\7515.text","lab3\Rnd\7515.text","1"
"D:/PPLabs/lab3/Rnd\2329.text","lab3\Rnd\2329.text","1"
"D:/PPLabs/lab3/Rnd\5627.text","lab3\Rnd\5627.text","1"
"D:/PPLabs/lab3/Rnd\1793.text","lab3\Rnd\1793.text","1"
"D:/PPLabs/lab3/Rnd\2154.text","lab3\Rnd\2154.text","1"
"D:/PPLabs/lab3/Rnd\8796.text","lab3\Rnd\8796.text","1"
"D:/PPLabs/lab3/Rnd\8898.text","lab3\Rnd\8898.text","1"
"D:/PPLabs/lab3/Rnd\4980.text","lab3\Rnd\4980.text","1"
"D:/PPLabs/lab3/Rnd\1940.text","lab3\Rnd\1940.text","1"
"D:/PPLabs/lab3/Rnd\5870.text","lab3\Rnd\5870.text","1"
"D:/PPLabs/lab3/Rnd\7066.text","lab3\Rnd\7066.text","1"
"D:/PPLabs/lab3/Rnd\5757.text","lab3\Rnd\5757.text","1"
"D:/PPLabs/lab3/Rnd\2892.text","lab3\Rnd\2892.text","1"
"D:/PPLabs/lab3/Rnd\5946.text","lab3\Rnd\5946.text","1"
"D:/PPLabs/lab3/Rnd\6328.text","lab3\Rnd\6328.text","1"
"D:/PPLabs/lab3/Rnd\5695.text","lab3\Rnd\5695.text","1"
"D:/PPLabs/lab3/Rnd\8341.text","lab3\Rnd\8341.text","1"
"D:/PPLabs/lab3/Rnd\2685.text","lab3\Rnd\2685.text","1"
"D:/PPLabs/lab3/Rnd\3986.text","lab3\Rnd\3986.text","1"
"D:/PPLabs/lab3/Rnd\6447.text","lab3\Rnd\6447.text","1"
"D:/PPLabs/lab3/Rnd\5239.text","lab3\Rnd\5239.text","1"
"D:/PPLabs/lab3/Rnd\8890.text","lab3\Rnd\8890.text","1"
"D:/PPLabs/lab3/Rnd\6652.text","lab3\Rnd\6652.text","1"
"D:/PPLabs/lab3/Rnd\2004.text","lab3\Rnd\2004.text","1"
"D:/PPLabs/lab3/Rnd\9901.text","lab3\Rnd\9901.text","1"
"D:/PPLabs/lab3/Rnd\9997.text","lab3\Rnd\9997.text","1"
"D:/PPLabs/lab3/Rnd\225.text","lab3\Rnd\225.text","1"
"D:/PPLabs/lab3/Rnd\9324.text","lab3\Rnd\9324.text","1"
"D:/PPLabs/lab3/Rnd\988.text","lab3\Rnd\988.text","1"
"D:/PPLabs/lab3/Rnd\5543.text","lab3\Rnd\5543.text","1"
"D:/PPLabs/lab3/Rnd\5039.text","lab3\Rnd\5039.text","1"
"D:/PPLabs/lab3/Rnd\9712.text","lab3\Rnd\9712.text","1"
"D:/PPLabs/lab3/Rnd\5678.text","lab3\Rnd\5678.text","1"
"D:/PPLabs/lab3/Rnd\1831.text","lab3\Rnd\1831.text","1"
"D:/PPLabs/lab3/Rnd\83.text","lab3\Rnd\83.text","1"
"D:/PPLabs/lab3/Rnd\5931.text","lab3\Rnd\5931.text","1"
"D:/PPLabs/lab3/Rnd\6701.text","lab3\Rnd\6701.text","1"
"D:/PPLabs/lab3/Rnd\5821.text","lab3\Rnd\5821.text","1"
"D:/PPLabs/lab3/Rnd\8244.text","lab3\Rnd\8244.text","1"
"D:/PPLabs/lab3/Rnd\7190.text","lab3\Rnd\7190.text","1"
"D:/PPLabs/lab3/Rnd\2155.text","lab3\Rnd\2155.text","1"
"D:/PPLabs/lab3/Rnd\1627.text","lab3\Rnd\1627.text","1"
"D:/PPLabs/lab3/Rnd\8446.text","lab3\Rnd\8446.text","1"
"D:/PPLabs/lab3/Rnd\259.text","lab3\Rnd\259.text","1"
"D:/PPLabs/lab3/Rnd\5733.text","lab3\Rnd\5733.text","1"
"D:/PPLabs/lab3/Rnd\7565.text","lab3\Rnd\7565.text","1"
"D:/PPLabs/lab3/Rnd\405.text","lab3\Rnd\405.text","1"
"D:/PPLabs/lab3/Rnd\4704.text","lab3\Rnd\4704.text","1"
"D:/PPLabs/lab3/Rnd\3964.text","lab3\Rnd\3964.text","1"
"D:/PPLabs/lab3/Rnd\417.text","lab3\Rnd\417.text","1"
"D:/PPLabs/lab3/Rnd\9857.text","lab3\Rnd\9857.text","1"
"D:/PPLabs/lab3/Rnd\5587.text","lab3\Rnd\5587.text","1"
"D:/PPLabs/lab3/Rnd\1933.text","lab3\Rnd\1933.text","1"
"D:/PPLabs/lab3/Rnd\9236.text","lab3\Rnd\9236.text","1"
"D:/PPLabs/lab3/Rnd\5076.text","lab3\Rnd\5076.text","1"
"D:/PPLabs/lab3/Rnd\7595.text","lab3\Rnd\7595.text","1"
"D:/PPLabs/lab3/Rnd\6886.text","lab3\Rnd\6886.text","1"
"D:/PPLabs/lab3/Rnd\3007.text","lab3\Rnd\3007.text","1"
"D:/PPLabs/lab3/Rnd\5416.text","lab3\Rnd\5416.text","1"
"D:/PPLabs/lab3/Rnd\7828.text","lab3\Rnd\7828.text","1"
"D:/PPLabs/lab3/Rnd\8919.text","lab3\Rnd\8919.text","1"
"D:/PPLabs/lab3/Rnd\3324.text","lab3\Rnd\3324.text","1"
"D:/PPLabs/lab3/Rnd\4819.text","lab3\Rnd\4819.text","1"
"D:/PPLabs/lab3/Rnd\780.text","lab3\Rnd\780.text","1"
"D:/PPLabs/lab3/Rnd\76.text","lab3\Rnd\76.text","1"
"D:/PPLabs/lab3/Rnd\360.text","lab3\Rnd\360.text","1"
"D:/PPLabs/lab3/Rnd\945.text","lab3\Rnd\945.text","1"
"D:/PPLabs/lab3/Rnd\5387.text","lab3\Rnd\5387.text","1"
"D:/PPLabs/lab3/Rnd\5643.text","lab3\Rnd\5643.text","1"
"D:/PPLabs/lab3/Rnd\8734.text","lab3\Rnd\8734.text","1"
"D:/PPLabs/lab3/Rnd\6523.text","lab3\Rnd\6523.text","1"
"D:/PPLabs/lab3/Rnd\2595.text","lab3\Rnd\2595.text","1"
"D:/PPLabs/lab3/Rnd\5812.text","lab3\Rnd\5812.text","1"
"D:/PPLabs/lab3/Rnd\290.text","lab3\Rnd\290.text","1"
"D:/PPLabs/lab3/Rnd\6548.text","lab3\Rnd\6548.text","1"
"D:/PPLabs/lab3/Rnd\5398.text","lab3\Rnd\5398.text","1"
"D:/PPLabs/lab3/Rnd\5745.text","lab3\Rnd\5745.text","1"
"D:/PPLabs/lab3/Rnd\6540.text","lab3\Rnd\6540.text","1"
"D:/PPLabs/lab3/Rnd\8626.text","lab3\Rnd\8626.text","1"
"D:/PPLabs/lab3/Rnd\7892.text","lab3\Rnd\7892.text","1"
"D:/PPLabs/lab3/Rnd\5507.text","lab3\Rnd\5507.text","1"
"D:/PPLabs/lab3/Rnd\580.text","lab3\Rnd\580.text","1"
"D:/PPLabs/lab3/Rnd\8784.text","lab3\Rnd\8784.text","1"
"D:/PPLabs/lab3/Rnd\9377.text","lab3\Rnd\9377.text","1"
"D:/PPLabs/lab3/Rnd\1070.text","lab3\Rnd\1070.text","1"
"D:/PPLabs/lab3/Rnd\6342.text","lab3\Rnd\6342.text","1"
"D:/PPLabs/lab3/Rnd\9778.text","lab3\Rnd\9778.text","1"
"D:/PPLabs/lab3/Rnd\8136.text","lab3\Rnd\8136.text","1"
"D:/PPLabs/lab3/Rnd\7446.text","lab3\Rnd\7446.text","1"
"D:/PPLabs/lab3/Rnd\2640.text","lab3\Rnd\2640.text","1"
"D:/PPLabs/lab3/Rnd\2483.text","lab3\Rnd\2483.text","1"
"D:/PPLabs/lab3/Rnd\6760.text","lab3\Rnd\6760.text","1"
"D:/PPLabs/lab3/Rnd\2259.text","lab3\Rnd\2259.text","1"
"D:/PPLabs/lab3/Rnd\7493.text","lab3\Rnd\7493.text","1"
"D:/PPLabs/lab3/Rnd\7924.text","lab3\Rnd\7924.text","1"
"D:/PPLabs/lab3/Rnd\8830.text","lab3\Rnd\8830.text","1"
"D:/PPLabs/lab3/Rnd\2125.text","lab3\Rnd\2125.text","1"
"D:/PPLabs/lab3/Rnd\6590.text","lab3\Rnd\6590.text","1"
"D:/PPLabs/lab3/Rnd\9486.text","lab3\Rnd\9486.text","1"
"D:/PPLabs/lab3/Rnd\9734.text","lab3\Rnd\9734.text","1"
"D:/PPLabs/lab3/Rnd\4931.text","lab3\Rnd\4931.text","1"
"D:/PPLabs/lab3/Rnd\2045.text","lab3\Rnd\2045.text","1"
"D:/PPLabs/lab3/Rnd\6687.text","lab3\Rnd\6687.text","1"
"D:/PPLabs/lab3/Rnd\4154.text","lab3\Rnd\4154.text","1"
"D:/PPLabs/lab3/Rnd\2009.text","lab3\Rnd\2009.text","1"
"D:/PPLabs/lab3/Rnd\9596.text","lab3\Rnd\9596.text","1"
"D:/PPLabs/lab3/Rnd\481.text","lab3\Rnd\481.text","1"
"D:/PPLabs/lab3/Rnd\2725.text","lab3\Rnd\2725.text","1"
"D:/PPLabs/lab3/Rnd\1778.text","lab3\Rnd\1778.text","1"
"D:/PPLabs/lab3/Rnd\5691.text","lab3\Rnd\5691.text","1"
"D:/PPLabs/lab3/Rnd\7487.text","lab3\Rnd\7487.text","1"
